,class Names,truncatation,occlusion,alpha,xmin,ymin,xmax,ymax,height,width,length,xloc,yloc,zloc,rotation_y
0,Pedestrian,0.00,0,-0.20,712.40,143.00,810.73,307.92,1.89,0.48,1.20,1.84,1.47,8.41,"0.01
"
20,Pedestrian,0.00,0,1.94,330.06,178.74,360.77,238.64,1.87,0.96,0.65,-8.50,2.07,23.02,"1.59
"
54,Pedestrian,0.00,2,1.41,859.54,159.80,879.68,221.40,1.96,0.72,1.09,8.33,1.55,23.51,"1.75
"
65,Pedestrian,0.00,1,0.30,883.68,144.15,937.35,259.01,1.90,0.42,1.04,5.06,1.43,12.42,"0.68
"
66,Pedestrian,0.00,2,0.29,873.70,152.10,933.44,256.07,1.87,0.50,0.90,5.42,1.50,13.43,"0.67
"
68,Pedestrian,0.00,0,-0.39,649.28,168.10,664.61,206.40,1.78,0.53,0.95,2.20,1.57,34.08,"-0.33
"
70,Pedestrian,0.00,0,2.02,240.35,190.31,268.02,261.61,1.54,0.57,0.41,-7.92,1.94,15.95,"1.57
"
85,Pedestrian,0.00,1,0.71,1021.76,133.28,1101.39,316.63,1.81,1.06,0.73,4.75,1.33,7.59,"1.25
"
86,Pedestrian,0.00,0,-1.58,672.23,171.73,690.13,224.33,1.73,0.84,0.86,2.46,1.41,24.14,"-1.48
"
87,Pedestrian,0.00,0,-1.59,692.68,169.14,712.48,224.03,1.81,0.90,0.95,3.30,1.40,24.22,"-1.46
"
88,Pedestrian,0.00,0,-1.46,537.84,168.08,560.90,224.34,1.78,0.92,1.01,-1.79,1.36,23.30,"-1.54
"
185,Pedestrian,0.00,0,-2.45,147.29,156.22,205.29,309.43,1.75,0.67,1.13,-5.18,1.48,8.51,"-2.97
"
226,Pedestrian,0.00,2,0.21,423.17,173.67,433.17,224.03,1.60,0.38,0.30,-5.87,1.63,23.11,"-0.03
"
267,Pedestrian,0.00,0,1.13,691.54,168.88,700.87,198.51,1.74,0.47,0.55,5.15,1.51,42.82,"1.24
"
280,Pedestrian,0.00,0,-1.73,471.56,174.73,502.47,266.40,1.53,0.61,0.73,-2.20,1.57,12.56,"-1.90
"
281,Pedestrian,0.00,0,-1.59,441.08,170.15,473.22,268.12,1.61,0.54,0.87,-2.70,1.57,12.34,"-1.80
"
282,Pedestrian,0.00,0,1.19,684.72,161.94,711.08,230.10,1.89,0.61,0.92,2.40,1.59,20.51,"1.30
"
283,Pedestrian,0.00,0,1.09,719.54,160.00,745.42,229.67,1.91,0.69,0.77,3.32,1.56,20.30,"1.25
"
320,Pedestrian,0.00,0,-1.58,659.64,160.90,687.89,236.97,1.73,0.84,0.86,1.54,1.26,16.82,"-1.49
"
321,Pedestrian,0.00,0,-1.66,680.59,157.38,711.83,236.18,1.81,0.90,0.95,2.15,1.26,17.03,"-1.55
"
322,Pedestrian,0.00,0,-1.42,453.20,159.81,482.53,241.31,1.78,0.92,1.01,-3.22,1.31,16.26,"-1.61
"
336,Pedestrian,0.29,3,-2.06,984.43,188.05,1128.77,374.00,1.54,0.84,0.75,2.77,1.65,4.71,"-1.55
"
340,Pedestrian,0.00,0,-1.88,693.57,173.32,709.90,209.83,1.61,0.74,1.08,3.96,1.64,32.55,"-1.76
"
383,Pedestrian,0.00,0,2.83,768.22,141.35,840.18,316.18,1.85,0.54,0.96,2.17,1.44,7.80,"3.09
"
398,Pedestrian,0.00,0,-2.94,410.27,163.81,498.68,327.03,1.60,0.57,1.07,-1.56,1.45,7.29,"3.14
"
430,Pedestrian,0.00,2,-1.94,411.42,172.40,454.91,296.52,1.68,0.52,0.55,-2.57,1.67,10.12,"-2.18
"
438,Pedestrian,0.00,0,2.67,602.33,172.98,626.06,220.54,1.61,0.87,1.03,0.16,1.32,25.06,"2.67
"
478,Pedestrian,0.00,0,2.98,531.11,146.50,631.01,350.00,1.85,0.66,1.18,-0.29,1.54,6.89,"2.94
"
486,Pedestrian,0.00,0,-2.62,237.23,173.70,312.33,365.33,1.58,0.66,0.53,-2.99,1.60,6.32,"-3.05
"
487,Pedestrian,0.00,1,0.80,189.46,158.23,256.19,356.44,1.70,0.61,0.51,-3.62,1.58,6.54,"0.31
"
488,Pedestrian,0.00,0,0.45,752.95,164.08,791.19,288.78,1.75,0.63,0.51,2.28,1.63,10.51,"0.65
"
491,Pedestrian,0.00,0,-2.07,546.73,177.07,560.52,214.88,1.53,0.61,0.73,-2.41,1.71,29.83,"-2.15
"
492,Pedestrian,0.00,0,-2.02,535.68,174.41,549.63,214.38,1.61,0.54,0.87,-2.86,1.68,29.55,"-2.12
"
494,Pedestrian,0.00,0,1.21,688.53,124.64,780.20,363.93,1.95,0.63,0.74,1.18,1.49,6.19,"1.39
"
495,Pedestrian,0.00,0,1.07,778.38,149.08,861.05,355.71,1.71,0.60,0.52,1.84,1.45,6.18,"1.34
"
496,Pedestrian,0.00,0,0.72,935.80,155.14,1006.47,306.09,1.59,0.46,0.67,4.04,1.32,7.84,"1.18
"
506,Pedestrian,0.28,0,2.39,90.64,186.57,329.47,373.00,1.51,1.01,0.97,-2.63,1.56,4.83,"1.90
"
507,Pedestrian,0.00,0,-1.35,964.98,157.64,1023.92,289.42,1.59,0.66,0.65,4.82,1.30,9.12,"-0.88
"
508,Pedestrian,0.00,2,0.66,236.84,169.82,288.56,339.57,1.66,0.65,0.72,-3.58,1.55,7.41,"0.22
"
510,Pedestrian,0.00,1,-1.90,811.24,152.52,841.74,249.83,1.75,0.82,1.14,4.05,1.23,13.53,"-1.61
"
511,Pedestrian,0.00,0,-1.53,583.85,164.01,608.02,237.87,1.77,0.94,0.93,-0.26,1.35,17.75,"-1.55
"
512,Pedestrian,0.00,0,2.63,524.52,165.79,549.51,230.67,1.73,0.67,0.83,-1.94,1.31,19.66,"2.53
"
513,Pedestrian,0.00,0,1.66,560.09,165.43,577.09,224.39,1.82,0.80,0.86,-1.22,1.32,22.65,"1.60
"
514,Pedestrian,0.00,2,1.43,708.67,157.73,729.27,222.05,1.88,0.78,1.03,3.36,1.19,21.58,"1.58
"
560,Pedestrian,0.00,0,0.90,304.95,177.99,359.91,304.07,1.57,0.52,0.62,-3.69,1.64,9.37,"0.54
"
575,Pedestrian,0.00,0,-0.28,560.17,171.53,569.17,196.85,1.72,0.74,0.56,-3.11,1.64,49.54,"-0.34
"
673,Pedestrian,0.00,0,0.84,359.32,182.26,400.32,285.85,1.57,0.52,0.62,-3.63,1.72,11.35,"0.54
"
686,Pedestrian,0.00,0,2.81,854.08,154.71,921.42,293.25,1.73,0.50,1.12,3.76,1.42,9.15,"-3.10
"
723,Pedestrian,0.00,0,2.75,810.36,154.61,875.38,302.31,1.74,0.62,1.04,2.93,1.44,8.71,"3.07
"
783,Pedestrian,0.00,0,0.08,447.05,168.53,472.39,258.42,1.87,0.64,0.65,-3.25,1.78,15.37,"-0.13
"
814,Pedestrian,0.00,0,2.67,631.05,172.02,653.89,215.09,1.61,0.87,1.03,1.26,1.26,27.59,"2.71
"
859,Pedestrian,0.00,0,3.12,613.47,162.60,621.80,184.53,1.80,0.68,1.44,0.99,0.32,58.96,"3.14
"
860,Pedestrian,0.00,0,0.25,473.86,167.59,484.19,191.50,1.92,0.57,1.32,-10.30,0.88,57.47,"0.07
"
